contributor,r2,explained_variance
746683,-0.07611980004152707,-0.062335434685198754
746854,-9.069478760561113,-2.8468954624010605
747578,-0.4778181404161097,-0.11855376233284498
747673,0.03255078282077217,0.18605824510548052
748599,-1.1252638432364614,-0.15039913299646135
748785,-0.21373211377590184,0.07333377067479152
749585,-0.4496864067860509,-0.05665089311127769
749759,-0.13234641121712643,-0.12840024706045594
753777,,1.0
754548,0.2536505013840603,0.3100439967433184
754564,-0.28571592554593894,0.12076512506955617
754597,-610.0815947425789,-143.46667032820443
755587,-1.621750353256246,-0.4776661051258473
755668,-0.1586035086429789,-0.08038890403864918
756477,-0.999999999990633,1.6786572132332367e-12
756984,-2.29665807100217,-1.6253457786280525
757389,0.1392715242154271,0.16197526784115945
757585,-0.1097007375318031,-0.005784276134287225
757679,0.1641276248254545,0.22011358622527144
758333,-0.2856189543143408,-0.18496540848363408
758589,-1.0925838257613116,-0.3497445137850297
759398,-6.600168885574099,-3.920865129706802
759955,-0.27016396029656664,-0.1035671944544192
763394,-0.08986826993812724,-0.006129412773000498
765366,-0.052818154811008045,-0.05191396341105281
766975,-5.572529769875522,-1.287381211865573
767954,-2.1015559997462927,-1.3413396633707846
768684,-1.5978231654516017,-0.29501984768471434
768766,-0.03822112896458374,-0.025474157991880908
769343,-0.03163519405879778,0.006693269452640704
769399,-0.15181932858775404,-0.08393349369735348
769537,-1.5333523210226145,-0.5305278930137522
769678,-0.22171282096921852,-0.11340172606400523
769988,-0.04664893695908101,0.012983982541207806
773356,-0.6566827154829356,0.3028397727011847
773477,-70.08542877578546,-11.89980742341595
774345,-0.33211376663311554,-0.13250821474359875
774369,-0.2978842388166927,-0.04384311827554743
774388,-0.22895054459719089,0.017882869583142558
775654,-0.09201813369429823,-0.08702799559089769
775766,-0.11685976554762423,-0.02561251980446766
777447,-0.1533776395221227,-0.15232303604987218
778859,0.34096522749785874,0.380609832183496
778896,-1.4399944708659618,-0.6982959247847988
779947,-0.24799409789384375,-0.03812031716214315
783358,-0.05973817458286024,0.013982398481015457
783656,-0.11453887856498524,-0.060025873209325065
783695,-0.24680204159847152,-0.13858062365284263
784465,-13.589981784297198,-8.7035899134795
784575,-43.519259326921244,-34.477405958258146
784775,-0.7631386734047061,-0.7377019152216715
784883,-0.28136579961908614,-0.04137396134055593
785938,-0.10657954416757054,-0.013684174651826142
787463,-0.36323560285143275,-0.35218454541117516
