contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
735987,human,-0.04398209557429067,1.175573321177455,0.5611285266457681,-134,-148,-2,-1,295,H,24.0,784
743485,human,-0.3776715727056945,0.7618250173952608,0.5413870246085011,362,425,341,1,300,H,24.0,553
744346,human,0.1632473310421525,1.0220899716738374,0.6337209302325582,42,-7,-1,-1,299,4H,6.0,384
748599,human,-1.1064882604698663,0.6994689836615656,0.6075117370892019,70,407,488,1,299,2H,12.0,575
754548,human,-0.6201553715144728,0.9484821159251228,0.49387755102040815,191,102,63,1,299,30T,48.0,345
754564,human,-1.1847906963585948,1.1570872028836778,0.5524126455906821,11,55,142,1,297,H,24.0,453
755587,human,-0.19238071222936548,0.6736537485635155,0.5806861499364676,0,-9,168,1,298,H,24.0,579
757389,human,-17.48233176415941,7.272927504256537,0.5539568345323741,-103,-92,-38,-1,286,30T,48.0,333
758333,human,-2.6180560523781216,0.6430107255966138,0.5,279,235,580,1,298,H,24.0,635
763394,human,-3.2079206100955178,1.0808807654803874,0.5674949630624581,-56,302,697,1,300,H,24.0,767
767954,human,-0.20919547082901202,0.5694130686496287,0.5696846388606307,23,-42,209,1,299,H,24.0,791
769343,human,-3.7154386515704694,1.1958432526611102,0.5287049399198932,-64,6,-9,-1,295,H,24.0,674
769399,human,-0.3146096559273335,0.6814697331364294,0.48045397225725095,103,169,121,1,297,H,24.0,642
773356,human,-0.05657439510642104,0.6256702574540501,0.6501340482573726,-53,-43,-1,-1,298,H,24.0,815
783656,human,0.048892767837022344,1.1897500005647388,0.4125,-8,-43,-1,-1,300,4H,6.0,380
784775,human,-1.0210313571787712,0.665869752765517,0.5525383707201889,23,-135,-1,-1,297,H,24.0,856
787773,human,-11.823543941616368,1.4032560821839357,0.43137254901960786,224,176,315,1,294,H,24.0,818
795565,human,-5.553407916322236,2.0708466461442088,0.5141579731743666,-158,-150,-2,-1,292,H,24.0,569
795985,human,-3.4823325874280453,0.8393034175045782,0.5716234652114598,-118,331,778,1,300,H,24.0,658
797989,human,-11.515325551374229,1.0779622326847669,0.4830917874396135,-40,205,188,1,298,30T,48.0,462
798388,human,-0.4581989687953081,1.0969789354149695,0.41457286432160806,-68,9,-5,-1,297,2H,12.0,503
843533,human,-1.32547400446659,0.5830996748864349,0.4318497913769124,1,214,501,1,295,H,24.0,747
845398,human,-0.26414597802570805,1.1837761725057876,0.47058823529411764,60,4,21,1,290,3H,8.0,428
847775,human,-2.3802649683342683,0.45394972835649466,0.5266393442622951,-233,549,1010,1,298,H,24.0,768
849548,human,-13.347339525977148,2.0754869702165486,0.7053941908713693,150,117,147,1,297,H,24.0,555
859454,human,-6.42329756771677,2.1814358236048172,0.5817120622568094,-14,-6,8,1,297,3H,8.0,472
859754,human,-3.017656434433399,2.168855477843534,0.43079922027290446,-45,14,-21,1,298,2H,12.0,483
