contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
mister-roboto,bot,-0.032314853149562284,0.8843016878357127,0.5360576923076923,-159,-134,-1,-1,300,H,24.0,549
mm-cloud-bot,bot,-4.1184294014504825,2.8386107057089434,0.9586956521739131,228,264,349,1,300,30T,48.0,328
moz-wptsync-bot,bot,-0.38483592824642465,0.8636659499189997,0.21972318339100347,-394,-96,-4,-1,299,H,24.0,531
mumukibot,bot,-39.51875763754224,8.89276946672605,0.013736263736263736,-595,-118,-1,-1,298,12T,120.0,357
nacho-bot,bot,-0.19784619448952534,1.1406712793213736,0.819614711033275,107,162,283,1,298,H,24.0,441
neos-bot,bot,-0.0982877119701564,2.5201159667856445,0.08353808353808354,-407,-302,-180,-1,184,3H,8.0,421
netkan-bot,bot,-10209.025780561085,235.1817130161689,0.9981916817359855,107,374,469,1,271,H,24.0,504
nextcloud-bot,bot,-5.418434290954281,13.956607343785386,0.9864864864864865,9,83,125,1,296,20T,72.0,358
ninjadotorg-bot,bot,-0.27009325279246377,0.030156631386503235,0.36212624584717606,-2,-5,-1,-1,300,H,24.0,555
niveristand-diff-bot,bot,-9.414528640007639,6.40274705659833,0.9779179810725552,174,546,608,1,277,30T,48.0,439
nodebb-misty,bot,-0.00987739113711772,1.2816472562933445,0.8110236220472441,39,49,51,1,293,4H,6.0,465
nodejs-github-bot,bot,-0.24690952470333816,1.0241376250152814,0.4174757281553398,-59,-129,-1,-1,300,20T,72.0,408
nur-bot,bot,0.0781449438583367,0.7228300391670996,0.596039603960396,1,-78,-5,-1,298,30T,48.0,497
octokit-fixture-user-a,bot,-180.77502289588705,17.03770313676989,1.0,366,808,1257,1,300,30T,48.0,575
octokitbot,bot,-0.21340356238779368,1.1277620181643742,0.12050832602979843,-2282,-2040,-174,-1,237,H,24.0,625
oll-bot,bot,-0.33166892342005627,1.208923115619727,0.9420289855072463,168,291,556,1,300,H,24.0,523
openhab-bot,bot,0.1902162462517959,0.7954671400899115,0.8294930875576036,8,52,109,1,300,20T,72.0,382
openshift-cherrypick-robot,bot,-0.7652094997211556,2.314895927762597,0.9031007751937985,252,237,312,1,296,4T,,447
openssl-machine,bot,0.03152339513377256,0.6820278917496169,0.7633477633477633,-27,-13,73,1,300,H,24.0,548
pantheon-ci-bot,bot,-0.012631038083235291,0.5707143079981849,0.21883360085607276,-1863,-1850,-1,-1,299,H,24.0,844
pdfjsbot,bot,0.05105674210991695,0.7899251360952136,0.8458015267175573,-109,-46,124,1,300,H,24.0,719
