contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
558473,human,0.10785378366056253,0.9580672946865917,0.879472693032015,-4,62,144,296,H,484
567384,human,-0.1115030058423585,1.311271327371281,0.26570048309178745,-371,-252,-1,300,H,359
567396,human,-0.38559683533361033,7.9203305641004675,0.7727272727272727,2,8,16,298,D,55
567743,human,0.023561053429047574,5.2344240527536865,0.484375,-10,-26,-22,264,D,72
576539,human,-0.07370625090854976,1.149143269444264,0.5590277777777778,50,73,233,299,H,265
578794,human,-0.16777637533047418,4.691684728912435,0.6415094339622641,-3,3,5,297,D,78
579369,human,-1.4165328729898556,20.03007391175353,0.8727272727272727,-3,-7,6,205,D,41
587344,human,0.5590442174758238,4.841142271295964,0.3409090909090909,-7,-5,-1,274,D,49
597849,human,-4.370239058302397,13.741611413619651,0.725,3,15,19,300,D,36
645363,human,-0.2971416629876462,13.367713948579775,0.6538461538461539,-2,-1,-2,259,D,35
646677,human,-2.9235223524723972,10.870118597927046,0.6818181818181818,2,14,19,292,D,37
646795,human,-7.404594373652225,16.59435301723346,0.9411764705882353,4,15,47,279,D,42
648358,human,-0.2713141634519074,39.3414861455913,0.8,3,1,-1,282,D,34
656549,human,-3192.844556636803,259.39160247974667,0.6170212765957447,3,-2,23,282,D,39
658766,human,-0.10582260364231355,8.39056548122939,0.6818181818181818,-5,7,2,264,D,38
658938,human,-34.91053263996828,40.749690245131845,0.9230769230769231,4,9,45,281,D,30
664498,human,0.01041150177117689,12.253535746886051,0.9166666666666666,-3,-7,0,292,D,41
664693,human,-0.1246776402841796,0.6721025247393315,0.5906210392902408,-5,-62,-1,300,H,477
668867,human,-0.026540302808058414,0.8599954114037632,0.34913793103448276,-543,-238,-22,296,H,634
669693,human,0.030289126755068008,1.7091905794175644,0.7016574585635359,-151,-75,-1,299,H,493
673338,human,-0.09734080901440234,1.767065406627492,0.8664688427299704,52,136,111,296,H,231
674548,human,-1.683850991788662,19.989497065059584,0.21428571428571427,-11,-4,-2,280,D,37
689788,human,-0.09960948440651807,6.1488231795948565,0.8235294117647058,7,10,10,294,D,64
733774,human,-0.35859805427772695,1.4070227715089303,0.3140794223826715,-531,-362,-1,300,H,184
735987,human,-0.3263840225519026,18.177787275944816,0.42857142857142855,-4,-7,-1,295,D,33
743485,human,-0.05081312815100203,0.7308386511039614,0.5324384787472036,307,63,-1,300,H,553
744346,human,-1.3267514106314233,6.180627487364135,0.1724137931034483,-30,-16,-1,298,D,64
748599,human,-49.13230903553689,29.635676020199707,0.9666666666666667,15,55,73,297,D,48
754548,human,-0.18235298133089595,1.9338522377273826,0.22357723577235772,-81,-54,-1,299,H,172
754564,human,-0.08741476226430911,0.9101259064622549,0.4292845257903494,-428,-236,-1,297,H,453
755587,human,-0.007396315555125099,0.725625312181396,0.7750952986022872,-42,-31,190,298,H,579
757389,human,-248.19313142520295,132.68130975125533,1.0,17,21,46,286,H,167
758333,human,-0.3835899713486728,0.6593399391624261,0.2551834130781499,-759,-563,-2,298,H,635
763394,human,-560.7885852942733,188.23788195284342,0.0,-56,-40,-1,286,D,32
767954,human,-5.0814615477085345,15.399251961006986,0.7142857142857143,2,4,16,295,D,33
769343,human,-0.88941613279346,8.838229058277026,0.75,2,5,9,280,D,28
769399,human,-0.019476797352568465,0.6626051438822554,0.6015132408575031,117,166,116,297,H,642
773356,human,0.1825192347720448,7.119055313087337,0.4375,-2,-1,-1,290,D,34
783656,human,-0.26471870836187583,5.0219173979829765,0.2962962962962963,-11,-19,-1,298,D,64
784775,human,-1.7990978327364173,12.140012975476257,0.6666666666666666,5,3,13,289,D,36
787773,human,-0.9509492686374916,10.748499228925258,0.20689655172413793,-39,-26,-10,276,D,34
795565,human,-1.290898277111773,2.677721829527544,0.9567809239940388,82,317,482,292,H,569
795985,human,-0.14720644077128497,0.5983715998737249,0.334924965893588,-1355,-666,-1,300,H,658
797989,human,-0.12565778641939485,1.4696432440141327,0.3729903536977492,-259,-65,-1,298,H,231
798388,human,-0.7721581167533045,12.41018172407631,0.7352941176470589,0,15,11,297,D,42
843533,human,-7.226272882525702,16.67558424495324,0.9180327868852459,4,15,35,290,D,31
845398,human,-1.073354693631312,8.833639715009967,0.1,-35,-23,-2,290,D,54
