contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
blathers-crl[bot],bot,-7.090072562071191,11.65651235255229,0.9512195121951219,7,49,123,277,T,132
bluespice-github-bot,bot,-1.1814733792687568,1.0618502332134605,0.8703208556149733,130,284,452,300,H,662
boring-cyborg[bot],bot,0.22797124725590945,3.757762087743068,0.5185185185185185,0,0,-1,297,D,31
bors-servo,bot,0.0235580757075059,1.612545938524148,0.5545454545454546,35,5,-2,297,H,213
bot-gradle,bot,0.02045284900128319,3.689175756529424,0.54,-3,-3,-3,298,H,130
carsonbot,bot,-0.05150183983263301,7.0729478564968415,0.1590909090909091,-44,-30,-3,296,D,83
cf-gitbot,bot,-0.2765792400660636,1.9418895962252465,0.8539823008849557,12,72,96,293,H,177
cheminfo-bot,bot,0.02009250425131659,5.781525869858828,0.5405405405405406,-2,-11,-3,286,D,32
cla-bot[bot],bot,-0.6477507815396939,1.2526307466327964,0.2521246458923513,-266,-90,-2,299,H,267
cmsdmwmbot,bot,0.10028113225783986,3.7223046520683365,0.5254237288135594,-10,-19,-3,270,D,71
codeclimate[bot],bot,-3.3847427914658432,5.771836105478924,0.011363636363636364,-74,-48,-3,298,T,58
codesandbox[bot],bot,-0.9626168355520037,4.074491428376947,0.23076923076923078,-18,-26,-1,300,H,54
confs-tech-bot,bot,-0.15514100134715947,8.320206279529142,0.34615384615384615,-3,-11,-1,288,D,33
cozy-bot,bot,-13.399666602527722,6.039938919376748,0.9830827067669173,144,262,454,298,H,318
cypress-bot[bot],bot,-4.7109772465906765,4.127169719331761,0.9498525073746312,74,185,263,300,H,373
delete-merged-branch[bot],bot,0.02186920993683683,1.834477229875378,0.6090225563909775,4,-23,-1,299,T,89
devOpsHazelcast,bot,-0.8060883429140973,2.420086253951009,0.9377358490566038,-29,66,379,297,H,255
dlang-bot,bot,-0.5324059980344058,4.208816951144935,0.6595744680851063,0,0,9,297,D,46
docker-library-bot,bot,0.004773865171730063,2.9326806819157816,0.2465753424657534,-14,-23,-3,297,H,161
dontcallmedom-bot,bot,0.541366058589418,0.6559916991241298,0.9829268292682927,24,89,144,292,H,479
dotnet-bot,bot,-34.049526464285506,17.55988900195199,0.9775280898876404,10,29,49,286,H,103
dotnet-issue-labeler[bot],bot,-2.8965790163782508,10.441487737785609,0.9230769230769231,0,4,18,292,D,33
dotnet-maestro-bot,bot,-0.2208450254006582,10.024977841775964,0.8620689655172413,12,13,10,296,D,30
edx-requirements-bot,bot,-3.9424011916742883,14.487480686424332,0.03636363636363636,-97,-69,-1,299,H,88
edx-transifex-bot,bot,0.12272339711153957,0.7263752108749624,0.9525032092426188,141,164,285,295,H,662
elife-bot,bot,-0.3373083373219712,3.958290439469837,0.959409594095941,141,186,180,295,H,129
engine-flutter-autoroll,bot,-0.976298682853975,3.4719027822110817,0.8645833333333334,3,13,40,300,H,113
fire-bot,bot,0.2145171514644426,4.412124776911512,0.7567567567567568,0,2,8,295,D,81
flinkbot,bot,-0.030460257876463892,1.4881156806343718,0.6098654708520179,67,57,49,296,H,151
fluttergithubbot,bot,-0.0037152551655559307,1.653300977633027,0.2064516129032258,-88,-62,-1,300,H,217
forking-renovate[bot],bot,-1.930899405402677,3.6321564266954,0.9582309582309583,104,244,298,299,H,208
fossabot,bot,-0.012828140620753103,1.2811188882336695,0.847457627118644,-39,52,64,297,H,389
garybot2,bot,0.24736096587990342,3.8382121709812207,0.5098039215686274,-10,-10,-1,295,D,70
gatsby-cloud[bot],bot,-0.43296231544141084,2.1116999373481344,0.2672413793103448,-70,-51,-1,300,H,140
getsentry-bot,bot,-1.4240264912435352,2.764371701265033,0.8980582524271845,87,116,283,299,H,364
gitguardian[bot],bot,-1.7019236647081812,4.028914081900594,0.8387096774193549,2,12,22,296,H,60
gitpod-io[bot],bot,-1.001991930043443,0.7137077827806967,0.5168287210172027,51,540,933,300,H,282
google-ml-butler[bot],bot,0.1437883702725724,1.2534320072955414,0.7433962264150943,-24,-36,-1,300,H,359
google-oss-bot,bot,0.5270234295272982,3.605260773146273,0.8539325842696629,13,23,28,295,H,120
graalvmbot,bot,-0.22044996612430068,2.0332898826503687,0.48502994011976047,11,-49,-1,299,H,124
graviteeio,bot,-957.8146829383558,55.45338665285069,1.0,138,323,655,286,H,261
guardrails[bot],bot,-0.2962137045990896,1.284977857915363,0.7489177489177489,29,45,80,296,H,202
hashicorp-cla,bot,-0.09699725330872155,6.187021330112797,0.7037037037037037,1,0,3,300,D,31
hasura-bot,bot,0.04354950986616113,0.9438215906769941,0.7388059701492538,-41,21,74,297,H,509
hft-team-city,bot,-0.15478459985961157,2.0704777348046153,0.17110266159695817,-260,-223,-24,269,H,329
ibmdotcom-bot,bot,-8.484275214578878,5.968826108190471,0.968609865470852,53,320,388,297,H,404
ionitron-bot[bot],bot,-1.277407047631531,4.816683049270939,0.9183673469387755,6,14,19,298,D,57
istio-policy-bot,bot,0.5398176324823148,0.41434193880520037,0.8604143947655398,2,106,221,291,H,655
jbosstm-bot,bot,-0.13142547188541975,15.559518944801733,0.5909090909090909,-11,-3,-2,273,D,39
jenkins-x-bot-test,bot,-0.21832744537591742,8.32411905206252,0.21052631578947367,-36,-25,-8,274,D,91
jetstack-bot,bot,-0.03977276856324674,2.0494410109150736,0.3684210526315789,23,-48,-16,289,H,171
jitsi-jenkins,bot,-1.5994892829112195,4.171919916124549,0.859504132231405,24,109,153,293,H,170
johnpbloch-bot,bot,-4.772552445456819,12.168865225315486,0.9508196721311475,2,14,33,291,D,42
jujubot,bot,0.0054649823820306365,4.562939878886027,0.7884615384615384,-2,7,11,295,D,79
