contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
docker-library-bot,bot,-20.211019409355472,8.059726926211663,0.5205479452054794,-45,-23,-3,297,H,161
dontcallmedom-bot,bot,0.21038624192045485,0.7955391578694828,0.573170731707317,-24,-55,-1,292,H,479
dotnet-bot,bot,-35.688003512046095,7.245491940492023,0.5617977528089888,-46,-40,-14,286,H,103
dotnet-issue-labeler[bot],bot,-8.885157715570948,13.677958004882722,0.8205128205128205,-5,-7,0,292,D,33
dotnet-maestro-bot,bot,-1.4790677263300807,13.206902475335431,0.6551724137931034,5,0,-1,296,D,30
edx-requirements-bot,bot,-0.6868566891254124,4.209459965670279,0.6,-11,-7,37,299,H,88
edx-transifex-bot,bot,-18.253792015044727,3.27284299372603,0.5738125802310655,90,44,72,295,H,662
elife-bot,bot,-1.6143961242381981,2.7469139974207817,0.4870848708487085,111,136,110,295,H,129
engine-flutter-autoroll,bot,-15.177046631929478,5.3944422780185635,0.65625,-21,-35,-1,300,H,113
fire-bot,bot,-4.898412157844465,7.927576547721203,0.40540540540540543,-21,-16,-1,295,D,81
flinkbot,bot,-1.3663023450570666,2.1914200254458813,0.6412556053811659,65,61,66,296,H,151
fluttergithubbot,bot,-2.377910622911912,2.81147443805671,0.18064516129032257,9,-33,-1,300,H,217
forking-renovate[bot],bot,-0.8467885034545024,1.6884439573408079,0.6216216216216216,86,194,212,299,H,208
fossabot,bot,-0.5714993551395089,1.2818642319861666,0.6029055690072639,-48,28,6,297,H,389
garybot2,bot,0.026531964534098118,3.6691219295501174,0.5294117647058824,-14,-15,-1,295,D,70
gatsby-cloud[bot],bot,-1.9117193118877651,2.765105267092943,0.39655172413793105,-20,-26,-1,300,H,140
getsentry-bot,bot,-13.988397100222604,3.39052746829621,0.6140776699029126,-11,-82,-5,299,H,364
gitguardian[bot],bot,-1.6791458563537485,3.1569317850998275,0.5645161290322581,-4,-2,-1,296,H,60
gitpod-io[bot],bot,-13.563597706246782,1.2194096977243623,0.6574420344053852,83,615,1072,300,H,282
google-ml-butler[bot],bot,-0.03210852935537645,1.4470349799001487,0.5849056603773585,-45,-79,-1,300,H,359
google-oss-bot,bot,-0.38653906608013555,3.290395192465051,0.6179775280898876,-11,-31,-5,295,H,120
graalvmbot,bot,-1.6615464893978555,2.8822557312315653,0.5868263473053892,43,45,46,299,H,124
graviteeio,bot,-77.466800184328,6.523864270579359,0.49777777777777776,-2,67,283,286,H,261
guardrails[bot],bot,-1.0998557809659615,1.410239529492224,0.5064935064935064,17,18,33,296,H,202
hashicorp-cla,bot,-0.39400355228778094,6.457780487516015,0.5925925925925926,0,-2,-1,300,D,31
hasura-bot,bot,-1.2591707747338727,1.2296593194846839,0.4601990049751244,-107,-109,-10,297,H,509
hft-team-city,bot,-0.04844512436106885,1.781816839756948,0.5665399239543726,-117,-219,-24,269,H,329
ibmdotcom-bot,bot,-5.415158402100454,2.2786915692581085,0.5067264573991032,-94,48,-1,297,H,404
ionitron-bot[bot],bot,-2.7022390753527294,5.327723907268286,0.5306122448979592,-4,-7,-2,298,D,57
istio-policy-bot,bot,0.27387833173895915,0.40118610305391483,0.47001090512540894,2,110,237,291,H,655
jbosstm-bot,bot,-0.46736196094948057,15.750832788175261,0.5909090909090909,-8,-3,-2,273,D,39
jenkins-x-bot-test,bot,-0.2501199653091575,8.238067711186977,0.39473684210526316,-26,-25,-8,274,D,91
jetstack-bot,bot,-11.38253301983966,5.0503513368526,0.6894736842105263,28,3,-16,289,H,171
jitsi-jenkins,bot,-10.606175769777346,4.735251434671092,0.5413223140495868,-18,22,19,293,H,170
johnpbloch-bot,bot,-0.7895999745247493,5.215837833168132,0.6557377049180327,-3,2,14,291,D,42
jujubot,bot,-4.046555333236562,8.15542938436282,0.5384615384615384,-22,-18,-2,295,D,79
knative-prow-robot,bot,-6.364198627613476,11.306007882288716,0.7166666666666667,-10,-12,0,300,D,56
ks-ci-bot,bot,-0.3105885420571928,0.921929504936865,0.5474613686534217,-2,-145,-21,297,H,594
kubevirt-commenter-bot,bot,-3.3658448875654745,0.5669061869734946,0.43189017951425557,148,145,346,300,H,595
lgtm-com[bot],bot,-0.08410612443786425,9.821398515478664,0.6333333333333333,-21,-23,-9,290,T,81
lingohub[bot],bot,-3.277613244338121,3.629038187581585,0.5967741935483871,2,12,17,293,D,42
linux-foundation-easycla[bot],bot,-3.7893815125307038,1.8411910056115184,0.6768558951965066,49,31,24,298,H,181
livingdocs-automation,bot,-1.9115485633997862,1.497815113073416,0.52,23,86,86,297,H,305
mender-test-bot,bot,-10.257327483093611,2.3667233922203246,0.5603864734299517,-62,-54,-7,296,H,499
metal3-io-bot,bot,-2.38184528203769,2.257429097811242,0.6914893617021277,-67,4,-14,298,H,265
metamaskbot,bot,-1.6737845186844695,3.147055275182464,0.34146341463414637,-32,-45,-2,297,H,227
minikube-bot,bot,0.08376585758336619,5.66562235606556,0.43333333333333335,-3,-7,-2,288,D,38
minikube-pr-bot,bot,-0.3950863683288879,3.8811781607288984,0.4166666666666667,-2,-9,-1,300,D,60
minio-trusted,bot,-2.8134629944403193,0.7216674628187187,0.7038019451812555,63,173,628,300,H,499
miss-islington,bot,-1.5683349483190603,1.3540631110317973,0.4853658536585366,86,67,95,296,H,313
mister-roboto,bot,-0.16797820322394408,1.0147521302923868,0.5024038461538461,-39,-85,-1,300,H,549
mm-cloud-bot,bot,-6.905456792915123,3.4270020296808337,0.5695652173913044,63,31,38,300,H,164
moz-wptsync-bot,bot,-2.6577197665971815,1.0100844154560855,0.44982698961937717,16,146,46,299,H,531
mumukibot,bot,-5.088248162207407,5.383376624759309,0.5714285714285714,24,95,95,298,H,71
